ProductSk,ProductName,BrandId,CategoryFk,ModelYear,ListPrice,BrandSk,BrandName,CategorySk,CategoryName
1,Trek 820 - 2016,9,6,2016,379.99,0,,0,
2,Ritchey Timberwolf Frameset - 2016,5,6,2016,749.99,0,,0,
3,Surly Wednesday Frameset - 2016,8,6,2016,999.99,0,,0,
4,Trek Fuel EX 8 29 - 2016,9,6,2016,2899.99,0,,0,
5,Heller Shagamaw Frame - 2016,3,6,2016,1320.99,0,,0,
6,Surly Ice Cream Truck Frameset - 2016,8,6,2016,469.99,0,,0,
7,Trek Slash 8 27.5 - 2016,9,6,2016,3999.99,0,,0,
8,Trek Remedy 29 Carbon Frameset - 2016,9,6,2016,1799.99,0,,0,
9,Trek Conduit+ - 2016,9,5,2016,2999.99,0,,0,
10,Surly Straggler - 2016,8,4,2016,1549.00,0,,0,
11,Surly Straggler 650b - 2016,8,4,2016,1680.99,0,,0,
12,Electra Townie Original 21D - 2016,1,3,2016,549.99,0,,0,
13,Electra Cruiser 1 (24-Inch) - 2016,1,3,2016,269.99,0,,0,
14,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,3,2016,269.99,0,,0,
15,Electra Moto 1 - 2016,1,3,2016,529.99,0,,0,
16,Electra Townie Original 7D EQ - 2016,1,3,2016,599.99,0,,0,
17,Pure Cycles Vine 8-Speed - 2016,4,3,2016,429.00,0,,0,
18,Pure Cycles Western 3-Speed - Women's - 2015/2016,4,3,2016,449.00,0,,0,
19,Pure Cycles William 3-Speed - 2016,4,3,2016,449.00,0,,0,
20,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,599.99,0,,0,
21,Electra Cruiser 1 (24-Inch) - 2016,1,1,2016,269.99,0,,0,
22,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,1,2016,269.99,0,,0,
23,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,1,1,2016,299.99,0,,0,
24,Electra Townie Original 21D - 2016,1,2,2016,549.99,0,,0,
25,Electra Townie Original 7D - 2015/2016,1,2,2016,499.99,0,,0,
26,Electra Townie Original 7D EQ - 2016,1,2,2016,599.99,0,,0,
27,Surly Big Dummy Frameset - 2017,8,6,2017,999.99,0,,0,
28,Surly Karate Monkey 27.5+ Frameset - 2017,8,6,2017,2499.99,0,,0,
29,Trek X-Caliber 8 - 2017,9,6,2017,999.99,0,,0,
30,Surly Ice Cream Truck Frameset - 2017,8,6,2017,999.99,0,,0,
31,Surly Wednesday - 2017,8,6,2017,1632.99,0,,0,
32,Trek Farley Alloy Frameset - 2017,9,6,2017,469.99,0,,0,
33,Surly Wednesday Frameset - 2017,8,6,2017,469.99,0,,0,
34,Trek Session DH 27.5 Carbon Frameset - 2017,9,6,2017,469.99,0,,0,
35,Sun Bicycles Spider 3i - 2017,7,6,2017,832.99,0,,0,
36,Surly Troll Frameset - 2017,8,6,2017,832.99,0,,0,
37,Haro Flightline One ST - 2017,2,6,2017,379.99,0,,0,
38,Haro Flightline Two 26 Plus - 2017,2,6,2017,549.99,0,,0,
39,Trek Stache 5 - 2017,9,6,2017,1499.99,0,,0,
40,Trek Fuel EX 9.8 29 - 2017,9,6,2017,4999.99,0,,0,
41,Haro Shift R3 - 2017,2,6,2017,1469.99,0,,0,
42,Trek Fuel EX 5 27.5 Plus - 2017,9,6,2017,2299.99,0,,0,
43,Trek Fuel EX 9.8 27.5 Plus - 2017,9,6,2017,5299.99,0,,0,
44,Haro SR 1.1 - 2017,2,6,2017,539.99,0,,0,
45,Haro SR 1.2 - 2017,2,6,2017,869.99,0,,0,
46,Haro SR 1.3 - 2017,2,6,2017,1409.99,0,,0,
47,Trek Remedy 9.8 - 2017,9,6,2017,5299.99,0,,0,
48,Trek Emonda S 4 - 2017,9,7,2017,1499.99,0,,0,
49,Trek Domane SL 6 - 2017,9,7,2017,3499.99,0,,0,
50,Trek Silque SLR 7 Women's - 2017,9,7,2017,5999.99,0,,0,
51,Trek Silque SLR 8 Women's - 2017,9,7,2017,6499.99,0,,0,
52,Surly Steamroller - 2017,8,7,2017,875.99,0,,0,
53,Surly Ogre Frameset - 2017,8,7,2017,749.99,0,,0,
54,Trek Domane SL Disc Frameset - 2017,9,7,2017,3199.99,0,,0,
55,Trek Domane S 6 - 2017,9,7,2017,2699.99,0,,0,
56,Trek Domane SLR 6 Disc - 2017,9,7,2017,5499.99,0,,0,
57,Trek Emonda S 5 - 2017,9,7,2017,1999.99,0,,0,
58,Trek Madone 9.2 - 2017,9,7,2017,4999.99,0,,0,
59,Trek Domane S 5 Disc - 2017,9,7,2017,2599.99,0,,0,
60,Sun Bicycles ElectroLite - 2017,7,5,2017,1559.99,0,,0,
61,Trek Powerfly 8 FS Plus - 2017,9,5,2017,4999.99,0,,0,
62,Trek Boone 7 - 2017,9,4,2017,3499.99,0,,0,
63,Trek Boone Race Shop Limited - 2017,9,4,2017,3499.99,0,,0,
64,Electra Townie Original 7D - 2017,1,3,2017,489.99,0,,0,
65,Sun Bicycles Lil Bolt Type-R - 2017,7,3,2017,346.99,0,,0,
66,Sun Bicycles Revolutions 24 - 2017,7,3,2017,250.99,0,,0,
67,Sun Bicycles Revolutions 24 - Girl's - 2017,7,3,2017,250.99,0,,0,
68,Sun Bicycles Cruz 3 - 2017,7,3,2017,449.99,0,,0,
69,Sun Bicycles Cruz 7 - 2017,7,3,2017,416.99,0,,0,
70,Electra Amsterdam Original 3i - 2015/2017,1,3,2017,659.99,0,,0,
71,Sun Bicycles Atlas X-Type - 2017,7,3,2017,416.99,0,,0,
72,Sun Bicycles Biscayne Tandem 7 - 2017,7,3,2017,619.99,0,,0,
73,Sun Bicycles Brickell Tandem 7 - 2017,7,3,2017,749.99,0,,0,
74,Electra Cruiser Lux 1 - 2017,1,3,2017,439.99,0,,0,
75,Electra Cruiser Lux Fat Tire 1 Ladies - 2017,1,3,2017,599.99,0,,0,
76,"Electra Girl's Hawaii 1 16"" - 2017",1,3,2017,299.99,0,,0,
77,Electra Glam Punk 3i Ladies' - 2017,1,3,2017,799.99,0,,0,
78,Sun Bicycles Biscayne Tandem CB - 2017,7,3,2017,647.99,0,,0,
79,Sun Bicycles Boardwalk (24-inch Wheels) - 2017,7,3,2017,402.99,0,,0,
80,Sun Bicycles Brickell Tandem CB - 2017,7,3,2017,761.99,0,,0,
81,Electra Amsterdam Fashion 7i Ladies' - 2017,1,3,2017,1099.99,0,,0,
82,Electra Amsterdam Original 3i Ladies' - 2017,1,3,2017,659.99,0,,0,
83,Trek Boy's Kickster - 2015/2017,9,1,2017,149.99,0,,0,
84,Sun Bicycles Lil Kitt'n - 2017,7,1,2017,109.99,0,,0,
85,Haro Downtown 16 - 2017,2,1,2017,329.99,0,,0,
86,Trek Girl's Kickster - 2017,9,1,2017,149.99,0,,0,
87,Trek Precaliber 12 Boys - 2017,9,1,2017,189.99,0,,0,
88,Trek Precaliber 12 Girls - 2017,9,1,2017,189.99,0,,0,
89,Trek Precaliber 16 Boys - 2017,9,1,2017,209.99,0,,0,
90,Trek Precaliber 16 Girls - 2017,9,1,2017,209.99,0,,0,
91,Trek Precaliber 24 (21-Speed) - Girls - 2017,9,1,2017,349.99,0,,0,
92,Haro Shredder 20 - 2017,2,1,2017,209.99,0,,0,
93,Haro Shredder 20 Girls - 2017,2,1,2017,209.99,0,,0,
94,Haro Shredder Pro 20 - 2017,2,1,2017,249.99,0,,0,
95,"Electra Girl's Hawaii 1 16"" - 2017",1,1,2017,299.99,0,,0,
96,Electra Moto 3i (20-inch) - Boy's - 2017,1,1,2017,349.99,0,,0,
97,Electra Savannah 3i (20-inch) - Girl's - 2017,1,1,2017,349.99,0,,0,
98,Electra Straight 8 3i (20-inch) - Boy's - 2017,1,1,2017,489.99,0,,0,
99,Electra Sugar Skulls 1 (20-inch) - Girl's - 2017,1,1,2017,299.99,0,,0,
100,Electra Townie 3i EQ (20-inch) - Boys' - 2017,1,1,2017,489.99,0,,0,
101,Electra Townie 7D (20-inch) - Boys' - 2017,1,1,2017,339.99,0,,0,
102,Electra Townie Original 7D - 2017,1,2,2017,489.99,0,,0,
